2575 André the Giant   FRANCE
2609 Abbas II of Egypt   Egypt
2676 Abd ar-Rahman I   ISRAEL
2678 Abd-ar-Rahman III   Spain
2681 Abdülâziz   TURKEY
2692 ‘Abdu’l-Hamid I   Turkey
2695 Abdur Rahman Khan   Afghanistan
2722 Anders Celsius   SWEDEN
2786 Andrei Sakharov   Russia
2812 Aron Nimzowitsch   LATVIA
2847 Aung San Suu Kyi   
2875 Archduke Charles, Duke of Teschen   ITALY
2877 Augustine of Canterbury   ITALY
2911 Amr Diab   EGYPT
2919 Anaïs Nin   FRANCE
2944 Ariel Sharon   Israel
3017 Alexey Pazhitnov   Russia
3019 `Abdu'l-Bahá   Iran
3092 Akira Toriyama   JAPAN
182532 Alec Baldwin   UNITED STATES
3132 Adolphe Sax   BELGIUM
69861 Kirk Douglas   UNITED STATES
3225 Athanasius of Alexandria   Egypt
3246 Anthony the Great   Egypt
3356 Bill Clinton   UNITED STATES
3382 Britney Spears   UNITED STATES
3395 Gautama Buddha   Nepal
3408 Baruch Spinoza   NETHERLANDS
3713 Bjarne Stroustrup   DENMARK
3740 Björn Ulvaeus   SWEDEN
3741 Benny Andersson   SWEDEN
3747 Bill Gates   UNITED STATES
3841 Bud Spencer   Italy
3845 Brigitte Bardot   FRANCE
3873 Bernard Montgomery, 1st Viscount Montgomery of Alamein   United Kingdom
3875 Benjamin Disraeli, 1st Earl of Beaconsfield   UNITED KINGDOM
27954 Susan B. Anthony   United States
3992 Bram Stoker   Ireland
3999 Benoît Mandelbrot   Poland
4001 Benedict of Nursia   ITALY
4010 Bing Crosby   UNITED STATES
159275 Emily Dickinson   UNITED STATES
4041 Bede   UNITED KINGDOM
4068 Blaise Pascal   FRANCE
4163 Bertrand Russell   UNITED KINGDOM
4173 Babe Ruth   United States
4216 Brian De Palma   UNITED STATES
4224 Bobby Charlton   United Kingdom
4233 Berthe Morisot   France
4241 Bayezid I   Turkey
4242 Bayezid II   GREECE
4285 Bodhidharma   India
4313 Benjamin   Israel
4408 Buddy Holly   United States
4463 Babrak Karmal   GREECE
4471 Billy Bob Thornton   UNITED STATES
4481 Beatrix Potter   UNITED KINGDOM
4517 Boudica   United Kingdom
4527 Béla Bartók   ROMANIA
1778716 Jesse McCartney   United States
4551 Babur   UZBEKISTAN
4552 Bernard of Clairvaux   France
4572 Blackbeard   United Kingdom
4601 Björn Borg   SWEDEN
4607 Barnabas   Cyprus
4611 Burhanuddin Rabbani   AFGHANISTAN
85226 Cyndi Lauper   UNITED STATES
4667 Boris Pasternak   Russia
4670 Bruce Campbell   UNITED STATES
4868 B. F. Skinner   United States
4878 Robert Bellarmine   ITALY
4980 Bohdan Khmelnytsky   Ukraine
5033 Bo Diddley   UNITED STATES
5034 Béla Lugosi   Romania
5048 Brigham Young   United States
